Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
6.3,122.0,Đường Phan Huỳnh Điểu,Phường Hòa Quý,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,Tây Nam,7.5,3,5,0,0,0,0,0
8.9,75.0,Đường Dương Trí Trạch,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,4,0,0,0,0,0
6.2,95.0,Đường Tân Thái,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,19.0,Đông,7.5,2,3,1,1,1,1,0
3.5,90.0,Đường Trần Duy Chiến,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,9.0,10.0,Đông Bắc,5.0,1,1,1,1,1,1,0
12.3,155.0,Đường Trần Phước Thành,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,10.0,18.0,Đông Bắc,10.0,3,4,1,1,1,1,0
11.5,100.0,Đường Nguyễn Đức Trung,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,10.0,5,5,1,1,1,1,0
6.5,81.0,Đường Hương Hải Thiền Sư,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,18.0,Tây Nam,7.5,2,3,0,0,0,0,0
4.6,68.0,Đường Nguyễn Thị Hồng,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,15.0,Tây Bắc,5.5,3,3,0,0,0,0,0
5.4,82.0,Đường Bùi Dương Lịch,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây Bắc,7.5,1,2,0,0,0,0,0
9.5,150.0,Đường Ngô Quyền,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,30.0,Đông Nam,30.0,3,4,0,0,0,0,0
4.6,68.0,Đường Nguyễn Thị Hồng,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,15.0,Tây Bắc,5.5,3,3,0,0,0,0,0
5.4,82.0,Đường Bùi Dương Lịch,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây Bắc,7.5,1,2,0,0,0,0,0
6.5,81.0,Đường Hương Hải Thiền Sư,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,18.0,Tây Nam,7.5,2,3,0,0,0,0,0
